date;artist;track;spotify_data;album_name;album_release_date;track_popularity;artist_id
2022-06-28;David Paich;Spirit Of The Moonrise;Spirit Of The Moonrise|2022-06-09|39|6zgKTqBOokh6IjLXOO5zfQ;Spirit Of The Moonrise;2022-06-09;39.0;6zgKTqBOokh6IjLXOO5zfQ
2022-06-28;Ørganek;Samoloty;Samoloty|2022-06-21|26|2cPIQ8eVSqSKGjBQXgi3WH;Samoloty;2022-06-21;26.0;2cPIQ8eVSqSKGjBQXgi3WH
2022-06-28;Dawid Podsiadło;Post;POST|2022-06-24|62|6EB8VE9f7Ut6NOgviN6gDW;POST;2022-06-24;62.0;6EB8VE9f7Ut6NOgviN6gDW
2022-06-28;Muse;Will Of The People;Will Of The People|2022-06-01|68|12Chz98pHFMPJEknJQMWvI;Will Of The People;2022-06-01;68.0;12Chz98pHFMPJEknJQMWvI
2022-06-28;Jeff Beck;This Is A Song For Miss Heady Lamarr;|||;;;;
2022-06-28;Michał Pepol;KCKM;KCKM|2022-06-14|33|0gaIWmDwfXqZ3uMj72ccZ0;KCKM;2022-06-14;33.0;0gaIWmDwfXqZ3uMj72ccZ0
2022-06-28;Gibbs;PIĘKNY ŚWIAT;Piękny Świat|2022-05-19|66|1T4HxOYolAEb5PadIVKdWZ;Piękny Świat;2022-05-19;66.0;1T4HxOYolAEb5PadIVKdWZ
2022-06-28;Placebo;SURROUNDED BY SPIES;Never Let Me Go|2022-03-25|32|6RZUqkomCmb8zCRqc9eznB;Never Let Me Go;2022-03-25;32.0;6RZUqkomCmb8zCRqc9eznB
2022-06-28;Follow;HALLELUJAH;Live Recordings|2018-08-16|0|13DQTaJffWrdyqeUe7Fzr2;Live Recordings;2018-08-16;0.0;13DQTaJffWrdyqeUe7Fzr2
2022-06-28;Porcupine Tree;HERD CULLING;CLOSURE / CONTINUATION|2022-06-24|38|5NXHXK6hOCotCF8lvGM1I0;CLOSURE / CONTINUATION;2022-06-24;38.0;5NXHXK6hOCotCF8lvGM1I0
2022-06-28;Diana Ross;TURN UP THE SUNSHINE;Turn Up The Sunshine (From 'Minions: The Rise of Gru' Soundtrack)|2022-05-19|66|3MdG05syQeRYPPcClLaUGl;Turn Up The Sunshine (From 'Minions: The Rise of Gru' Soundtrack);2022-05-19;66.0;3MdG05syQeRYPPcClLaUGl
2022-06-28;Robert Plant;SEARCHING FOR MY LOVE;Raise The Roof|2021-11-19|44|1OwarW4LEHnoep20ixRA0y;Raise The Roof;2021-11-19;44.0;1OwarW4LEHnoep20ixRA0y
2022-06-28;Mitch;ALLA SERENITA;Alla serenità|2022-05-20|27|2PQkXVCcXu0Nwf226rzGXq;Alla serenità;2022-05-20;27.0;2PQkXVCcXu0Nwf226rzGXq
2022-06-28;Dawid Tyszkowski;KOSZULKA;Koszulka|2022-04-21|46|2Lp4rVUJ5ZRZfT8wkWF81K;Koszulka;2022-04-21;46.0;2Lp4rVUJ5ZRZfT8wkWF81K
2022-06-28;The Waterboys;ONCE WERE BROTHERS;All Souls Hill|2022-05-06|34|5TnuP42pw475UrjjeabtwZ;All Souls Hill;2022-05-06;34.0;5TnuP42pw475UrjjeabtwZ
2022-06-28;Kalush Orchestra;STEFANIA;Stefania (Kalush Orchestra)|2022-03-18|78|46rVVJwHWNS7C7MaWXd842;Stefania (Kalush Orchestra);2022-03-18;78.0;46rVVJwHWNS7C7MaWXd842
2022-06-28;Stanisława Celińska;PRZYTUL;Przytul|2022-05-26|18|0sijpMmVF9ui4micUVn9d6;Przytul;2022-05-26;18.0;0sijpMmVF9ui4micUVn9d6
2022-06-28;William Fitzsimmons;LOVE WILL TEAR US APART (GARAŻ 357);|||;;;;
2022-06-28;Natalia Przybysz i Skubas;SYRENA WŚRÓD FAL;|||;;;;
2022-06-28;MARO;SAUDADE, SAUDADE;Festival Da Canção 2022|2022-01-21|71|3NP4jJcW3R6qO6rbtnH0wn;Festival Da Canção 2022;2022-01-21;71.0;3NP4jJcW3R6qO6rbtnH0wn
2022-06-28;Mariusz Lubomski;ŚREDNIOWIECZNOŚĆ;Sęk You|2022-03-25|19|05AVHcWP9DF6y6LEU845uz;Sęk You;2022-03-25;19.0;05AVHcWP9DF6y6LEU845uz
2022-06-28;WaluśKraksaKryzys;TO CO MIĘDZY NAMI;ATAK|2021-04-23|45|4kOWvyAkvmkCrIHwW3bODd;ATAK;2021-04-23;45.0;4kOWvyAkvmkCrIHwW3bODd
2022-06-28;Administratorr Electro;AMATORZY NOCNEJ CISZY;Amatorzy nocnej ciszy|2022-05-16|32|6FPamV3tkyoMVnCBPejBVy;Amatorzy nocnej ciszy;2022-05-16;32.0;6FPamV3tkyoMVnCBPejBVy
2022-06-28;Ralph Kaminski;BAL U RAFAŁA;Bal u Rafała|2022-05-16|50|7l1IUcuGTEXMuD1aN3wFqw;Bal u Rafała;2022-05-16;50.0;7l1IUcuGTEXMuD1aN3wFqw
2022-06-28;Classix Nouveaux;FIX YOUR EYES UP;Fix Your Eyes Up|2022-05-16|27|40PsC6cWe7ZQdOUTqF5JgD;Fix Your Eyes Up;2022-05-16;27.0;40PsC6cWe7ZQdOUTqF5JgD
2022-06-28;Harry Styles;LATE NIGHT TALKING;Harry's House|2022-05-20|95|6KImCVD70vtIoJWnq6nGn3;Harry's House;2022-05-20;95.0;6KImCVD70vtIoJWnq6nGn3
2022-06-28;LemON;PTAKI;Ptaki|2022-05-13|47|3B4XG3HanBgkVOybc89Q3T;Ptaki;2022-05-13;47.0;3B4XG3HanBgkVOybc89Q3T
2022-06-28;Blossoms;CINERAMA HOLY DAYS;Ribbon Around The Bomb|2022-04-29|25|22RISwgVJyZu9lpqAcv1F5;Ribbon Around The Bomb;2022-04-29;25.0;22RISwgVJyZu9lpqAcv1F5
2022-06-28;Jack Savoretti;YOU DON'T HAVE TO SAY YOU LOVE ME;Europiana Encore|2022-05-20|43|7nC05zmJukRGYObQeRgg3x;Europiana Encore;2022-05-20;43.0;7nC05zmJukRGYObQeRgg3x
