date;artist;artist_id;spotify_data;artist_name;artist_genres;artist_popularity;artist_followers
2022-07-04;Polskie Znaki;51mMxJU8FRsiFRbXnYB3or;Polskie Znaki|polish alternative|27|1399;Polskie Znaki;polish alternative;27;1399
2022-07-04;Kwiat Jabłoni;53l3yjX8ITilPIlCRsVKEB;Kwiat Jabłoni|polish alternative,polish pop|60|205605;Kwiat Jabłoni;polish alternative,polish pop;60;205605
2022-07-04;Anieli;014XDYJJQpJHyaZyxpJrrB;Anieli||32|1366;Anieli;;32;1366
2022-07-04;T.Love;2L14uYIQePr3ZEutb6feZz;T.Love|polish pop,polish reggae,polish rock|48|168316;T.Love;polish pop,polish reggae,polish rock;48;168316
2022-07-04;Igo;6I5JdHLVup9pIjn9g5K20N;Igo|polish alternative|51|12706;Igo;polish alternative;51;12706
2022-07-04;Artist For Ukraine;3BzNLpnqZ1IMvso6rdIeUh;Artists for Ukraine||8|32;Artists for Ukraine;;8;32
2022-07-04;Kirk Hammett;2ePzbA0F0TD96Na0MEB2Cf;Kirk Hammett||35|26024;Kirk Hammett;;35;26024
2022-07-04;Vito Bambino;5XGkLMcwitYFdwroktQs7o;Vito Bambino|polish alternative,polish pop|60|57459;Vito Bambino;polish alternative,polish pop;60;57459
2022-07-04;Sheryl Crow;4TKTii6gnOnUXQHyuo9JaD;Sheryl Crow|lilith,mellow gold,new wave pop,permanent wave,pop rock,rock|65|915328;Sheryl Crow;lilith,mellow gold,new wave pop,permanent wave,pop rock,rock;65;915328
2022-07-04;Röyksopp;5nPOO9iTcrs9k6yFffPxjH;Röyksopp|alternative dance,big beat,downtempo,electronica,electropop,trip hop|59|800367;Röyksopp;alternative dance,big beat,downtempo,electronica,electropop,trip hop;59;800367
2022-07-04;Architects;3ZztVuWxHzNpl0THurTFCv;Architects|mathcore,melodic metalcore,metalcore,progressive metalcore,uk metalcore|61|720791;Architects;mathcore,melodic metalcore,metalcore,progressive metalcore,uk metalcore;61;720791
2022-07-04;Pink Floyd;0k17h0D3J5VfsdmQ1iZtE9;Pink Floyd|album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock|77|17173139;Pink Floyd;album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock;77;17173139
2022-07-04;DJ BRK;2jNxbYSRQ7pkrxVuOjES7n;DJ BRK||40|2218;DJ BRK;;40;2218
2022-07-04;Sosnowski;41qXa50750tdWTyhtp1iCq;Sosnowski|polish blues|28|4035;Sosnowski;polish blues;28;4035
2022-07-04;Pablopavo i Ludziki;5y7leUjjrhUswowWshGpCi;Pablopavo i Ludziki|polish alternative,polish reggae|35|19347;Pablopavo i Ludziki;polish alternative,polish reggae;35;19347
2022-07-04;Hidden By Ivy;2nfwzENcmwKAejFHkmOl0J;Hidden By Ivy|polish post-punk|8|795;Hidden By Ivy;polish post-punk;8;795
2022-07-04;Placebo;6RZUqkomCmb8zCRqc9eznB;Placebo|alternative rock,britpop,modern rock,permanent wave,rock|66|1671546;Placebo;alternative rock,britpop,modern rock,permanent wave,rock;66;1671546
2022-07-04;Tears For Fears;4bthk9UfsYUYdcFyqxmSUU;Tears For Fears|new romantic,new wave,new wave pop,permanent wave,rock,sophisti-pop,synthpop|71|2431263;Tears For Fears;new romantic,new wave,new wave pop,permanent wave,rock,sophisti-pop,synthpop;71;2431263
2022-07-04;Ewa Bem;6E6qou5XcK7fjR7Ikvq0AP;Ewa Bem|classic polish pop|28|13928;Ewa Bem;classic polish pop;28;13928
2022-07-04;Tori Amos;1KsASRNugxU85T0u6zSg32;Tori Amos|dark pop,ectofolk,lilith,melancholia,new wave pop,permanent wave,piano rock,pop rock,singer-songwriter|54|648561;Tori Amos;dark pop,ectofolk,lilith,melancholia,new wave pop,permanent wave,piano rock,pop rock,singer-songwriter;54;648561
2022-07-04;Kae Tempest;1YcprGtF13BYCZQK9jYPEw;Kae Tempest|lgbtq+ hip hop,slam poetry|46|177543;Kae Tempest;lgbtq+ hip hop,slam poetry;46;177543
2022-07-04;Florence And The Machine;1moxjboGR7GNWYIMWsRjgG;Florence + The Machine|baroque pop,pop,uk alternative pop|75|5978275;Florence + The Machine;baroque pop,pop,uk alternative pop;75;5978275
2022-07-04;Karaś/Rogucki;1ZAGaCgMaOtt2yOUm1Qq6x;KARAŚ/ROGUCKI|polish alternative|41|18779;KARAŚ/ROGUCKI;polish alternative;41;18779
2022-07-04;Michelle Gurevich;2lP3Fx1aGCbQvH1F6i5Qeg;Michelle Gurevich|slowcore|45|91308;Michelle Gurevich;slowcore;45;91308
2022-07-04;Eddie Vedder;0mXTJETA4XUa12MmmXxZJh;Eddie Vedder|acoustic rock,permanent wave,rock|60|1396863;Eddie Vedder;acoustic rock,permanent wave,rock;60;1396863
2022-07-04;Muse;12Chz98pHFMPJEknJQMWvI;Muse|modern rock,permanent wave,rock|74|7058841;Muse;modern rock,permanent wave,rock;74;7058841
2022-07-04;Myslovitz;3sntDD4Y2K97qvDq3GPqZ5;Myslovitz|polish alternative,polish alternative rock,polish indie,polish indie rock,polish pop,polish rock|48|181772;Myslovitz;polish alternative,polish alternative rock,polish indie,polish indie rock,polish pop,polish rock;48;181772
2022-07-04;Archive;1Q776wzj2mrtXrNu3iH6nk;Archive|electronica,trip hop|48|236262;Archive;electronica,trip hop;48;236262
2022-07-04;Franio Mucha;2l1ha2vETw02TOEdpepvEx;Franio Mucha||14|117;Franio Mucha;;14;117
2022-07-04;Voo Voo;4vC1DrwqCb43puGttDWlwL;Voo Voo|classic polish pop,polish alternative,polish blues,polish post-punk,polish rock|34|37826;Voo Voo;classic polish pop,polish alternative,polish blues,polish post-punk,polish rock;34;37826
2022-07-04;Muchy;09Z3SI4GkhYjpCB6884vC8;Muchy|polish alternative,polish indie,polish indie rock,polish post-punk,poznan indie|36|15576;Muchy;polish alternative,polish indie,polish indie rock,polish post-punk,poznan indie;36;15576
2022-07-04;Ralph Kaminski;7l1IUcuGTEXMuD1aN3wFqw;Ralph Kaminski|polish alternative,polish pop|54|128799;Ralph Kaminski;polish alternative,polish pop;54;128799
2022-07-04;Julia Kamińska;4jFzWphpCeC923MojgEp7V;Julia Kamińska||24|292;Julia Kamińska;;24;292
2022-07-04;Kate Bush;1aSxMhuvixZ8h9dK9jIDwL;Kate Bush|art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter|81|1198566;Kate Bush;art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter;81;1198566
2022-07-04;Administratorr Electro;6FPamV3tkyoMVnCBPejBVy;Administratorr Electro|polish synthpop|21|307;Administratorr Electro;polish synthpop;21;307
2022-07-04;Editors;6e9wIFWhBPHLE9bXK8gtBI;Editors|alternative dance,alternative rock,britpop,indie rock,modern rock,rock|56|673671;Editors;alternative dance,alternative rock,britpop,indie rock,modern rock,rock;56;673671
2022-07-04;David Paich;6zgKTqBOokh6IjLXOO5zfQ;David Paich||23|1062;David Paich;;23;1062
2022-07-04;Ørganek;2cPIQ8eVSqSKGjBQXgi3WH;Organek|polish alternative,polish alternative rock,polish pop|46|205311;Organek;polish alternative,polish alternative rock,polish pop;46;205311
2022-07-04;Dawid Podsiadło;6EB8VE9f7Ut6NOgviN6gDW;Dawid Podsiadło|polish pop,talent show|66|1525801;Dawid Podsiadło;polish pop,talent show;66;1525801
2022-07-04;Michał Pepol;0gaIWmDwfXqZ3uMj72ccZ0;Michał Pepol||25|123;Michał Pepol;;25;123
2022-07-04;Gibbs;1T4HxOYolAEb5PadIVKdWZ;Gibbs|polish hip hop|64|52664;Gibbs;polish hip hop;64;52664
